scenario_id,replica_source,se,sp,uhr,true_hr,prior,prior_interpretation,prior_mu_B,prior_sd_B,bias_loghr,rmse_loghr,coverage,width_ratio,mcse_coverage,n_eval,unadjusted_bias_loghr,unadjusted_coverage
301,3,1.0,1.0,1.0,0.85,oracle_cell_specific,DGM-informed benchmark,1.169218595514221e-06,0.002770307443986348,-0.0001945445041864433,0.04036583964660046,0.953,1.0023108050265006,0.002993025225419928,5000,-0.0001933752855909202,0.9526
301,3,1.0,1.0,1.0,0.85,global_mechanism_prior,single prior induced by specified Se/Sp/uhr distributions,-0.05969861122307659,0.027335204418235934,0.059505235937485676,0.07190435499179997,0.819,1.204357843662358,0.005444979338803776,5000,-0.0001933752855909202,0.9526
301,3,1.0,1.0,1.0,0.85,oracle_mean_x1.25,relative mean misspecification; weak when oracle mean is near zero,1.4615232443927763e-06,0.002770307443986348,-0.00019483680883531794,0.04036584105643074,0.953,1.0023108050265006,0.002993025225419928,5000,-0.0001933752855909202,0.9526
301,3,1.0,1.0,1.0,0.85,oracle_mean_x1.50,relative mean misspecification; weak when oracle mean is near zero,1.7538278932713314e-06,0.002770307443986348,-0.00019512911348419486,0.040365842468377655,0.953,1.0023108050265006,0.002993025225419928,5000,-0.0001933752855909202,0.9526
302,7,1.0,1.0,0.5,0.85,oracle_cell_specific,DGM-informed benchmark,-0.10812918037703646,0.0037221930200524757,-0.00028334326217327764,0.041036002243519554,0.9548,1.0040563589636085,0.0029379230759160463,5000,-0.10841252363920974,0.2452
302,7,1.0,1.0,0.5,0.85,global_mechanism_prior,single prior induced by specified Se/Sp/uhr distributions,-0.05969861122307659,0.027335204418235934,-0.04871391241613314,0.0636939436650975,0.8784,1.1993382864938034,0.004621978797008919,5000,-0.10841252363920974,0.2452
302,7,1.0,1.0,0.5,0.85,oracle_mean_x1.25,relative mean misspecification; weak when oracle mean is near zero,-0.1351614754712956,0.0037221930200524757,0.026748951832085855,0.04898346272816134,0.902,1.0040563589636085,0.004204664076950737,5000,-0.10841252363920974,0.2452
302,7,1.0,1.0,0.5,0.85,oracle_mean_x1.50,relative mean misspecification; weak when oracle mean is near zero,-0.1621937705655547,0.0037221930200524757,0.05378124692634498,0.06764832383495109,0.7484,1.0040563589636085,0.006136732681158599,5000,-0.10841252363920974,0.2452
303,11,1.0,1.0,0.33,0.85,oracle_cell_specific,DGM-informed benchmark,-0.1563408989087401,0.00280639610871989,0.000596107936952193,0.041724646465590376,0.9474,1.002256256745715,0.0031569998416217885,5000,-0.1557447909717879,0.0416
303,11,1.0,1.0,0.33,0.85,global_mechanism_prior,single prior induced by specified Se/Sp/uhr distributions,-0.05969861122307659,0.027335204418235934,-0.09604617974871131,0.10471608960578967,0.5116,1.19523720516484,0.007069164589963937,5000,-0.1557447909717879,0.0416
303,11,1.0,1.0,0.33,0.85,oracle_mean_x1.25,relative mean misspecification; weak when oracle mean is near zero,-0.1954261236359251,0.00280639610871989,0.0396813326641372,0.057577764284556306,0.8422,1.002256256745715,0.005155563208806581,5000,-0.1557447909717879,0.0416
303,11,1.0,1.0,0.33,0.85,oracle_mean_x1.50,relative mean misspecification; weak when oracle mean is near zero,-0.23451134836311013,0.00280639610871989,0.07876655739132223,0.0891333907202372,0.5388,1.002256256745715,0.007049745527322245,5000,-0.1557447909717879,0.0416
304,15,0.9,0.9,1.0,0.85,oracle_cell_specific,DGM-informed benchmark,0.03470224230111151,0.0030358160531876,0.000292969794884179,0.03985130904433929,0.9562,1.0028400550881778,0.0028941858958954226,5000,0.03499521209599569,0.8574
304,15,0.9,0.9,1.0,0.85,global_mechanism_prior,single prior induced by specified Se/Sp/uhr distributions,-0.05969861122307659,0.027335204418235934,0.09469382331907229,0.10273734070935651,0.508,1.2087872087855245,0.007070162657251953,5000,0.03499521209599569,0.8574
304,15,0.9,0.9,1.0,0.85,oracle_mean_x1.25,relative mean misspecification; weak when oracle mean is near zero,0.04337780287638939,0.0030358160531876,-0.0083825907803937,0.04072233821182504,0.9502,1.0028400550881778,0.0030763601869742093,5000,0.03499521209599569,0.8574
304,15,0.9,0.9,1.0,0.85,oracle_mean_x1.50,relative mean misspecification; weak when oracle mean is near zero,0.052053363451667264,0.0030358160531876,-0.017058151355671573,0.04334768193248313,0.9352,1.0028400550881778,0.003481406612276135,5000,0.03499521209599569,0.8574
